age_grp,rank,use_time
30,1,63.35540932
30,2,47.04002067
30,3,37.73544675
30,4,43.64507764
30,5,35.98303829
30,6,39.85936116
30,7,40.73713396
30,8,35.44288793
30,9,56.53561814
30,10,55.68598509
30,11,41.10516406
30,12,56.12400967
30,13,59.00655518
30,14,61.33305937
30,15,46.54911875
30,16,51.96232145
30,17,48.47498809
30,18,61.1959413
30,19,44.05670626
30,20,57.11896739
30,21,64.81047423
30,22,33.8404501
30,23,38.3540505
30,24,35.13047372
30,25,32.14522912
30,26,47.86341643
30,27,32.3202367
30,28,33.33086014
30,29,63.9347208
30,30,62.22414715
30,31,40.45875802
30,32,64.17734429
30,33,39.42588051
30,34,50.71258688
30,35,49.76865254
30,36,44.14673458
30,37,54.36964398
30,38,33.12567158
30,39,66.02289659
30,40,32.00389552
30,41,41.11912492
30,42,61.51119967
30,43,55.88814604
30,44,68.40418599
30,45,31.00315183
30,46,34.58932477
30,47,54.59190378
30,48,59.80535925
30,49,63.75300466
30,50,35.1250009
30,51,37.92420449
30,52,60.19694793
30,53,43.63532182
30,54,50.57606012
30,55,32.36007006
30,56,65.66344213
30,57,46.9230555
30,58,97.29554871
30,59,38.67806084
30,60,55.73149169
30,61,58.84198965
30,62,67.03940833
30,63,31.03817866
30,64,63.28120365
30,65,63.06881309
30,66,36.02042722
30,67,35.4197051
30,68,62.53601923
30,69,60.5187985
30,70,45.7789219
30,71,45.59620921
30,72,65.78951119
30,73,33.70864658
30,74,61.51417262
30,75,68.51583179
30,76,41.37583527
30,77,70.35782113
30,78,43.60778112
30,79,47.35266447
30,80,68.40700992
30,81,52.31377107
30,82,48.47913509
30,83,56.12192896
30,84,32.4028746
30,85,66.45509153
30,86,57.42070908
30,87,68.67669673
30,88,31.89741812
30,89,61.87448132
30,90,43.90796279
30,91,43.73071141
30,92,79.28305297
30,93,38.70040107
30,94,65.30488099
30,95,68.54744082
30,96,67.00996403
30,97,53.02294801
30,98,58.71075671
30,99,33.8911994
30,100,68.04319805
30,101,32.59754185
30,102,44.5684034
30,103,65.71726992
30,104,39.37013734
30,105,59.07969087
30,106,46.20929046
30,107,44.03757193
30,108,65.16200921
30,109,34.32495716
30,110,38.61439422
30,111,69.48777983
30,112,58.13839359
30,113,37.53560453
30,114,57.23951714
30,115,32.56499894
30,116,52.38843957
30,117,37.57508845
30,118,42.69565818
30,119,55.95604524
30,120,77.68702257
30,121,63.07099434
30,122,46.17555493
30,123,92.88623502
30,124,58.50161904
30,125,51.66105738
30,126,49.55750786
30,127,56.78067213
30,128,37.21635214
30,129,34.42542818
30,130,62.97927939
30,131,36.28319151
30,132,59.61280974
30,133,67.55172968
30,134,59.9817076
30,135,53.88572392
30,136,31.48085654
30,137,56.42555459
30,138,66.03028293
30,139,65.57586601
30,140,61.11780636
30,141,60.99132811
30,142,33.43823322
30,143,43.46571006
30,144,59.26319294
30,145,50.79181402
30,146,70.1702113
30,147,60.89629199
30,148,63.81721012
30,149,65.84493855
30,150,31.22749066
30,151,17.14578457
30,152,35.78897832
30,153,68.7538302
30,154,44.54443262
30,155,39.46783646
30,156,32.72330487
30,157,68.04852583
30,158,32.93228634
30,159,37.10752397
30,160,70.47381783
30,161,67.6399586
30,162,52.57240646
30,163,53.30609665
30,164,67.01682555
30,165,54.99452004
30,166,68.94554224
30,167,69.62776529
30,168,61.87422071
30,169,59.20468927
30,170,47.99736449
30,171,39.55284584
30,172,32.90023968
30,173,47.01387233
30,174,38.16545634
30,175,56.00278116
30,176,32.31442127
30,177,68.06415713
30,178,52.2240399
30,179,41.27922104
30,180,69.56670266
30,181,50.22175797
30,182,36.97390584
30,183,47.89840076
30,184,67.43891633
30,185,38.2103846
30,186,31.02614682
30,187,68.43475884
30,188,61.58000463
30,189,40.28660094
30,190,33.11510988
30,191,58.27168259
30,192,50.11210246
30,193,51.19478394
30,194,40.6631034
30,195,39.52491724
30,196,39.18193798
30,197,55.16625712
30,198,47.51147101
30,199,45.0197765
30,200,67.37422677
30,201,32.66187798
30,202,47.06262324
30,203,64.33714962
30,204,41.51393632
30,205,41.61803505
30,206,38.35639759
30,207,66.03650507
30,208,57.56072262
30,209,16.6368929
30,210,48.27989763
30,211,58.47367667
30,212,50.3636359
30,213,45.87745084
30,214,36.14150649
30,215,64.53113791
30,216,50.93628642
30,217,62.04238715
30,218,54.43809552
30,219,66.22181584
30,220,45.3421872
30,221,38.94795023
30,222,34.4224912
30,223,56.02519249
30,224,66.15821745
30,225,52.02501791
30,226,58.01492354
30,227,34.19999847
30,228,55.03050414
30,229,62.36204273
30,230,41.45803387
30,231,36.3059485
30,232,57.3383627
30,233,54.03756671
30,234,64.58810193
30,235,47.52162248
30,236,47.76180526
30,237,50.33973806
30,238,52.59524249
30,239,37.95533315
30,240,50.07559396
30,241,36.35828896
30,242,41.59210823
30,243,35.47607941
30,244,52.75046076
30,245,54.7832761
30,246,31.86043791
30,247,37.57628975
30,248,67.69332111
30,249,31.34051579
30,250,59.0561236
30,251,67.67166707
30,252,41.36157169
30,253,61.81947942
30,254,36.739966
30,255,44.11950616
30,256,38.56671569
30,257,62.72422822
30,258,60.20006411
30,259,41.42124054
30,260,51.87487448
30,261,58.01890867
30,262,68.09759129
30,263,60.33214085
30,264,32.68425487
30,265,67.8681652
30,266,69.53530389
30,267,61.89009294
30,268,33.23178516
30,269,47.55440331
30,270,54.45976635
30,271,44.46990118
30,272,59.46110244
30,273,49.36961495
30,274,63.38267325
30,275,42.92684421
30,276,40.55996773
30,277,54.14553037
30,278,58.49453257
30,279,55.5588581
30,280,67.5458739
30,281,51.95917991
30,282,65.90129276
30,283,55.54207754
30,284,62.43847567
30,285,39.67128872
30,286,33.07185375
30,287,49.6298811
30,288,58.19193412
30,289,69.37911428
30,290,58.14722593
30,291,53.08573306
30,292,68.83358383
30,293,32.34889783
30,294,42.58607523
30,295,32.66435663
30,296,33.59339252
30,297,39.93370303
30,298,37.73754869
30,299,54.47735863
30,300,51.19447085
30,301,33.34302318
30,302,46.5509798
30,303,60.72053727
30,304,35.14134308
30,305,54.80439988
30,306,32.74195791
30,307,49.10549351
30,308,60.76574799
30,309,50.54866438
30,310,41.71462218
30,311,36.53369869
30,312,49.13499733
30,313,65.82674952
30,314,72.12356805
30,315,37.8337677
30,316,56.37271729
30,317,65.39404653
30,318,62.27861714
30,319,35.34256688
30,320,67.22311411
