date	Var1
2018-01-01	10418.32333
2018-01-02	10545.91399
2018-01-03	10538.67597
2018-01-04	10529.42426
2018-01-05	10598.22813
2018-01-06	10465.78497
2018-01-07	10494.11859
2018-01-08	10432.06696
2018-01-09	10548.26235
2018-01-10	10554.9638
2018-01-11	10606.32127
2018-01-12	
2018-01-13	10532.11871
2018-01-14	10712.27224
2018-01-15	10612.41456
2018-01-16	10469.53818
2018-01-17	10519.33734
2018-01-18	10493.82117
2018-01-19	10507.3554
2018-01-20	10509.228
2018-01-21	10479.27202
2018-01-22	10496.72108
2018-01-23	10600.90097
2018-01-24	10579.36835
2018-01-25	10614.74277
2018-01-26	10738.58596
2018-01-27	10699.82995
2018-01-28	10628.50222
2018-01-29	
2018-01-30	10724.62099
2018-01-31	10675.06115
2018-02-01	10668.55284
2018-02-02	10621.06062
2018-02-03	10612.75414
2018-02-04	10572.6174
2018-02-05	10611.16061
2018-02-06	10584.16304
2018-02-07	10584.97901
2018-02-08	10595.96176
2018-02-09	10602.32682
2018-02-10	10595.51856
2018-02-11	10600.29424
2018-02-12	10533.92839
2018-02-13	10464.64458
2018-02-14	10306.78195
2018-02-15	10134.64829
2018-02-16	10249.21563
2018-02-17	10110.09758
2018-02-18	10193.23325
2018-02-19	10308.66318
2018-02-20	10304.62259
2018-02-21	10189.02539
2018-02-22	10065.41458
2018-02-23	10068.43698
2018-02-24	10054.8716
2018-02-25	10221.1652
2018-02-26	10222.29142
2018-02-27	10339.60874
2018-02-28	10389.56159
2018-03-01	10361.39051
2018-03-02	10374.76004
2018-03-03	10475.08728
2018-03-04	10572.34649
2018-03-05	10488.35289
2018-03-06	10447.17808
2018-03-07	
2018-03-08	10516.22595
2018-03-09	10384.43574
2018-03-10	10379.21537
2018-03-11	10452.50885
2018-03-12	10442.5803
2018-03-13	10322.05667
2018-03-14	10318.60274
2018-03-15	10469.42955
2018-03-16	10481.13561
2018-03-17	10445.0658
2018-03-18	10486.8021
2018-03-19	10350.75606
2018-03-20	10274.92305
2018-03-21	10235.07154
2018-03-22	10317.83261
2018-03-23	10322.27874
2018-03-24	10245.03197
2018-03-25	10117009.85
2018-03-26	9997.728392
2018-03-27	10020.54625
2018-03-28	10053.14691
2018-03-29	10012.11436
2018-03-30	10017.26638
2018-03-31	9909.476516
2018-04-01	9974.84879
2018-04-02	9940.556449
2018-04-03	9942.170298
2018-04-04	9970.595154
2018-04-05	9959.69727
2018-04-06	10120.43932
2018-04-07	10214.41819
2018-04-08	10194.42561
2018-04-09	
2018-04-10	10207.95177
2018-04-11	10266.22325
2018-04-12	10197.63413
2018-04-13	10252.47149
2018-04-14	10396.43422
2018-04-15	10433.07552
2018-04-16	10368.88911
2018-04-17	10417.97444
2018-04-18	
2018-04-19	10340.55518
2018-04-20	10383.91712
2018-04-21	10384.40347
2018-04-22	10383.32595
2018-04-23	10420.0994
2018-04-24	10380.3454
2018-04-25	10398.0287
2018-04-26	10481.36073
2018-04-27	10446.80021
2018-04-28	10372.69813
2018-04-29	10358.69073
2018-04-30	10417.96318
2018-05-01	10436.9416
2018-05-02	10340.37891
2018-05-03	10288.23505
2018-05-04	
2018-05-05	10228.33617
2018-05-06	10243.80413
2018-05-07	10175.07631
2018-05-08	10216.10087
2018-05-09	10242.4346
2018-05-10	10256.19195
2018-05-11	10213.69956
2018-05-12	10165.70201
2018-05-13	10145.996
2018-05-14	10094.76966
2018-05-15	10157.27106
2018-05-16	10048.55727
2018-05-17	10053.8922
2018-05-18	9969.137826
2018-05-19	9965.001004
2018-05-20	10088.77382
2018-05-21	10117.93956
2018-05-22	10133.31547
2018-05-23	10145.65295
2018-05-24	10181.54825
2018-05-25	10129.84617
2018-05-26	10128.54613
2018-05-27	9964.503296
2018-05-28	9819.878072
2018-05-29	9821.547444
2018-05-30	9949.875933
2018-05-31	9943.875132
2018-06-01	9820.201541
2018-06-02	9832.700808
2018-06-03	9954.863219
2018-06-04	9974.995848
2018-06-05	10086.99901
2018-06-06	10041.81948
2018-06-07	10118.64763
2018-06-08	10074.96746
2018-06-09	10108.03769
2018-06-10	10187.38911
2018-06-11	10182.94921
2018-06-12	10197.08141
2018-06-13	10123.08645
2018-06-14	10176.44045
2018-06-15	10177.95388
2018-06-16	10294.45333
2018-06-17	10267.71496
2018-06-18	
2018-06-19	10343.46737
2018-06-20	10317.98954
2018-06-21	10294.84454
2018-06-22	10318.04298
2018-06-23	10322.87316
2018-06-24	10321.09121
2018-06-25	10236.33772
2018-06-26	10249.5787
